MM X: 849,  Y: 1055
MM X: 852,  Y: 1050
MM X: 854,  Y: 1047
MM X: 856,  Y: 1042
MM X: 867,  Y: 1019
MM X: 875,  Y: 992
MM X: 877,  Y: 984
MM X: 880,  Y: 958
MM X: 881,  Y: 938
MM X: 881,  Y: 934
MM X: 881,  Y: 919
MM X: 881,  Y: 916
MM X: 881,  Y: 907
MM X: 881,  Y: 902
MM X: 881,  Y: 895
MM X: 881,  Y: 890
MM X: 881,  Y: 887
MM X: 881,  Y: 886
MM X: 881,  Y: 886
MM X: 881,  Y: 888
MM X: 881,  Y: 892
MM X: 881,  Y: 894
MM X: 881,  Y: 903
MM X: 881,  Y: 908
MM X: 881,  Y: 919
MM X: 882,  Y: 932
MM X: 882,  Y: 936
MM X: 884,  Y: 946
MM X: 885,  Y: 948
