event_type;pos_x;pos_y;time
mouse_move;921;847;1488718456723
mouse_move;921;847;1488718456731
mouse_move;922;845;1488718456739
mouse_move;923;844;1488718456747
mouse_move;923;843;1488718456755
mouse_move;923;841;1488718456763
mouse_move;923;841;1488718456899
mouse_move;925;841;1488718456907
mouse_move;929;841;1488718456915
mouse_move;933;841;1488718456923
mouse_move;936;843;1488718456931
mouse_move;939;845;1488718456939
mouse_move;939;848;1488718456947
mouse_move;939;854;1488718456955
mouse_move;935;862;1488718456963
mouse_move;927;874;1488718456971
mouse_move;915;886;1488718456979
mouse_move;905;896;1488718456987
mouse_move;896;904;1488718456995
mouse_move;888;911;1488718457003
mouse_move;881;916;1488718457016
mouse_move;875;920;1488718457019
mouse_move;870;925;1488718457027
mouse_move;866;928;1488718457035
mouse_move;864;929;1488718457043
mouse_move;861;933;1488718457050
mouse_move;858;935;1488718457059
mouse_move;855;939;1488718457067
mouse_move;852;942;1488718457075
mouse_move;851;947;1488718457083
mouse_move;849;950;1488718457091
mouse_move;847;955;1488718457099
mouse_move;847;959;1488718457107
mouse_move;846;963;1488718457115
mouse_move;845;966;1488718457123
mouse_move;845;968;1488718457131
mouse_move;845;971;1488718457139
mouse_move;844;974;1488718457147
mouse_move;844;979;1488718457155
mouse_move;844;984;1488718457163
mouse_move;843;988;1488718457175
mouse_move;843;993;1488718457179
mouse_move;842;996;1488718457187
mouse_move;842;998;1488718457195
mouse_move;842;1000;1488718457203
mouse_move;840;1002;1488718457211
mouse_move;839;1004;1488718457219
mouse_move;836;1008;1488718457227
mouse_move;832;1013;1488718457235
mouse_move;826;1018;1488718457243
mouse_move;820;1023;1488718457251
mouse_move;816;1026;1488718457259
mouse_move;813;1030;1488718457267
mouse_move;812;1032;1488718457275
mouse_move;811;1034;1488718457283
mouse_move;811;1037;1488718457291
mouse_move;811;1038;1488718457299
mouse_move;811;1038;1488718457307
mouse_move;811;1039;1488718457323
mouse_move;811;1039;1488718457355
mouse_move;811;1040;1488718457366
mouse_move;811;1041;1488718457371
mouse_move;811;1042;1488718457379
mouse_move;811;1042;1488718457387
mouse_move;811;1043;1488718457395
mouse_move;811;1044;1488718457427
mouse_move;811;1045;1488718457443
mouse_move;811;1046;1488718457451
mouse_move;811;1047;1488718457459
mouse_move;811;1047;1488718457467
mouse_move;811;1049;1488718457475
mouse_move;811;1050;1488718457483
mouse_move;811;1052;1488718457491
mouse_move;810;1054;1488718457499
mouse_move;810;1056;1488718457507
mouse_move;809;1058;1488718457515
mouse_move;809;1060;1488718457523
mouse_move;809;1061;1488718457531
mouse_move;809;1061;1488718457539
mouse_down_left;809;1062;1488718457651
mouse_move;809;1062;1488718458091
mouse_move;809;1062;1488718458092
mouse_move;840;1056;1488718458093
mouse_move;960;995;1488718458093
mouse_move;1024;953;1488718458099
mouse_move;1031;949;1488718458126
mouse_move;1040;944;1488718458127
mouse_move;1056;934;1488718458131
mouse_move;1064;929;1488718458139
mouse_move;1069;924;1488718458147
mouse_move;1075;919;1488718458155
mouse_move;1080;914;1488718458163
mouse_move;1086;908;1488718458171
mouse_move;1093;900;1488718458179
mouse_move;1098;894;1488718458187
mouse_move;1106;887;1488718458195
mouse_move;1113;878;1488718458203
mouse_move;1121;872;1488718458211
mouse_move;1127;865;1488718458219
mouse_move;1134;860;1488718458227
mouse_move;1140;855;1488718458255
mouse_move;1151;848;1488718458259
mouse_move;1153;847;1488718458267
mouse_move;1155;847;1488718458275
mouse_move;1157;847;1488718458283
mouse_move;1160;846;1488718458291
mouse_move;1163;846;1488718458299
mouse_move;1170;844;1488718458307
mouse_move;1180;842;1488718458314
mouse_move;1193;838;1488718458323
mouse_move;1210;832;1488718458331
mouse_move;1230;827;1488718458339
mouse_move;1249;822;1488718458347
mouse_move;1265;816;1488718458355
mouse_move;1277;814;1488718458363
mouse_move;1288;812;1488718458371
mouse_move;1295;812;1488718458379
mouse_move;1300;812;1488718458387
mouse_move;1303;812;1488718458395
mouse_move;1305;811;1488718458403
mouse_move;1308;811;1488718458424
mouse_move;1311;808;1488718458427
mouse_move;1313;807;1488718458435
mouse_move;1313;806;1488718458443
mouse_move;1313;806;1488718458459
mouse_move;1315;805;1488718458475
mouse_move;1315;804;1488718458483
mouse_move;1318;803;1488718458491
mouse_move;1321;801;1488718458499
mouse_move;1327;797;1488718458507
mouse_move;1333;792;1488718458515
mouse_move;1339;786;1488718458523
mouse_move;1346;781;1488718458531
mouse_move;1353;776;1488718458539
mouse_move;1359;771;1488718458547
mouse_move;1364;766;1488718458555
mouse_move;1370;761;1488718458563
mouse_move;1373;757;1488718458571
mouse_move;1378;754;1488718458579
mouse_move;1382;751;1488718458587
mouse_move;1386;747;1488718458599
mouse_move;1390;744;1488718458603
mouse_move;1395;741;1488718458611
mouse_move;1398;738;1488718458619
mouse_move;1403;735;1488718458627
mouse_move;1406;733;1488718458635
mouse_move;1408;731;1488718458651
mouse_move;1408;731;1488718460219
mouse_move;1421;731;1488718460227
mouse_move;1433;733;1488718460235
mouse_move;1443;733;1488718460243
mouse_move;1448;733;1488718460251
mouse_move;1451;734;1488718460259
mouse_move;1458;735;1488718460267
mouse_move;1469;736;1488718460275
mouse_move;1478;737;1488718460283
mouse_move;1483;738;1488718460291
mouse_move;1488;738;1488718460299
mouse_move;1498;739;1488718460307
mouse_move;1504;740;1488718460315
mouse_move;1509;740;1488718460327
mouse_move;1518;741;1488718460331
mouse_move;1522;741;1488718460339
mouse_move;1525;741;1488718460347
mouse_move;1529;742;1488718460355
