event_type;key_code;key_code_readable;scan_code;alt_pressed;time
key_up;13;Return;28;False;1488040688304
key_down;87;W;17;False;1488041048944
key_up;87;W;17;False;1488041049008
key_down;87;W;17;False;1488041049040
key_down;87;W;17;False;1488041049540
key_down;87;W;17;False;1488041049573
key_down;87;W;17;False;1488041049606
key_down;87;W;17;False;1488041049639
key_down;87;W;17;False;1488041049672
key_down;87;W;17;False;1488041049705
key_down;87;W;17;False;1488041049738
key_down;87;W;17;False;1488041049771
key_down;87;W;17;False;1488041049804
key_down;87;W;17;False;1488041049837
key_down;87;W;17;False;1488041049870
key_down;87;W;17;False;1488041049904
key_down;87;W;17;False;1488041049936
key_down;87;W;17;False;1488041049970
key_down;87;W;17;False;1488041050002
key_up;87;W;17;False;1488041050032
key_down;87;W;17;False;1488041050528
key_up;87;W;17;False;1488041050608
key_down;87;W;17;False;1488041050656
key_up;87;W;17;False;1488041050752
key_down;81;Q;16;False;1488041056576
key_up;81;Q;16;False;1488041056656
key_down;81;Q;16;False;1488041056848
key_up;81;Q;16;False;1488041056912
key_down;81;Q;16;False;1488041057008
key_up;81;Q;16;False;1488041057072
key_down;81;Q;16;False;1488041057152
key_up;81;Q;16;False;1488041057216
key_down;81;Q;16;False;1488041057280
key_up;81;Q;16;False;1488041057344
key_down;81;Q;16;False;1488041057424
key_up;81;Q;16;False;1488041057504
key_down;81;Q;16;False;1488041057600
key_up;81;Q;16;False;1488041057680
key_down;81;Q;16;False;1488041057872
key_up;81;Q;16;False;1488041057952
key_down;81;Q;16;False;1488041058048
key_up;81;Q;16;False;1488041058112
key_down;87;W;17;False;1488041058208
key_up;87;W;17;False;1488041058352
key_down;87;W;17;False;1488041058416
key_down;68;D;32;False;1488041058688
key_up;68;D;32;False;1488041058816
key_down;81;Q;16;False;1488041058832
key_up;87;W;17;False;1488041058928
key_up;81;Q;16;False;1488041058944
key_down;81;Q;16;False;1488041059024
key_down;68;D;32;False;1488041059152
key_down;87;W;17;False;1488041059296
key_up;87;W;17;False;1488041059376
key_up;68;D;32;False;1488041059387
key_up;81;Q;16;False;1488041059568
key_down;81;Q;16;False;1488041059648
key_up;81;Q;16;False;1488041059728
key_down;81;Q;16;False;1488041059808
key_up;81;Q;16;False;1488041059872
key_down;81;Q;16;False;1488041059952
key_up;81;Q;16;False;1488041060032
key_down;81;Q;16;False;1488041060096
key_up;81;Q;16;False;1488041060160
key_down;81;Q;16;False;1488041060240
key_up;81;Q;16;False;1488041060304
key_down;81;Q;16;False;1488041060384
key_up;81;Q;16;False;1488041060432
key_down;81;Q;16;False;1488041060512
key_up;81;Q;16;False;1488041060576
key_down;81;Q;16;False;1488041060640
key_up;81;Q;16;False;1488041060704
key_down;81;Q;16;False;1488041060784
key_up;81;Q;16;False;1488041060832
key_down;81;Q;16;False;1488041060912
key_up;81;Q;16;False;1488041060976
key_down;81;Q;16;False;1488041061056
key_up;81;Q;16;False;1488041061152
key_down;81;Q;16;False;1488041061168
key_up;81;Q;16;False;1488041061248
key_down;81;Q;16;False;1488041061376
key_up;81;Q;16;False;1488041061440
key_down;81;Q;16;False;1488041061552
key_up;81;Q;16;False;1488041061616
key_down;88;X;45;False;1488041090976
key_down;83;S;31;False;1488041090997
key_up;88;X;45;False;1488041091088
key_up;83;S;31;False;1488041091104
key_down;83;S;31;False;1488041091184
key_down;83;S;31;False;1488041091684
key_down;83;S;31;False;1488041091717
key_down;83;S;31;False;1488041091750
key_down;83;S;31;False;1488041091783
key_down;83;S;31;False;1488041091816
key_down;83;S;31;False;1488041091849
key_down;83;S;31;False;1488041091883
key_down;83;S;31;False;1488041091915
key_down;83;S;31;False;1488041091948
key_down;83;S;31;False;1488041091981
key_down;83;S;31;False;1488041092014
key_down;83;S;31;False;1488041092047
key_up;83;S;31;False;1488041092064
key_down;65;A;30;False;1488041119392
key_down;65;A;30;False;1488041119892
key_down;65;A;30;False;1488041119925
key_down;65;A;30;False;1488041119958
key_down;65;A;30;False;1488041119992
key_down;65;A;30;False;1488041120024
key_down;65;A;30;False;1488041120057
key_down;65;A;30;False;1488041120090
key_down;65;A;30;False;1488041120123
key_down;65;A;30;False;1488041120157
key_down;65;A;30;False;1488041120189
key_down;65;A;30;False;1488041120223
key_down;65;A;30;False;1488041120255
key_down;65;A;30;False;1488041120288
key_down;65;A;30;False;1488041120321
key_down;65;A;30;False;1488041120355
key_down;65;A;30;False;1488041120387
key_down;65;A;30;False;1488041120421
key_down;65;A;30;False;1488041120453
key_down;65;A;30;False;1488041120486
key_down;65;A;30;False;1488041120519
key_down;65;A;30;False;1488041120553
key_down;65;A;30;False;1488041120586
key_down;65;A;30;False;1488041120619
key_down;65;A;30;False;1488041120652
key_down;65;A;30;False;1488041120684
key_down;65;A;30;False;1488041120717
key_down;65;A;30;False;1488041120750
key_down;65;A;30;False;1488041120784
key_down;65;A;30;False;1488041120817
key_down;65;A;30;False;1488041120850
key_down;65;A;30;False;1488041120882
key_down;65;A;30;False;1488041120915
key_down;65;A;30;False;1488041120948
key_down;65;A;30;False;1488041120981
key_down;65;A;30;False;1488041121015
key_down;65;A;30;False;1488041121048
key_down;65;A;30;False;1488041121081
key_down;65;A;30;False;1488041121114
key_down;65;A;30;False;1488041121147
key_down;65;A;30;False;1488041121180
key_down;65;A;30;False;1488041121212
key_down;65;A;30;False;1488041121245
key_up;65;A;30;False;1488041121259
key_down;81;Q;16;False;1488041122688
key_up;81;Q;16;False;1488041122768
key_down;81;Q;16;False;1488041122848
key_up;81;Q;16;False;1488041122896
key_down;81;Q;16;False;1488041122976
key_up;81;Q;16;False;1488041123040
key_down;81;Q;16;False;1488041123120
key_up;81;Q;16;False;1488041123168
key_down;81;Q;16;False;1488041123232
key_up;81;Q;16;False;1488041123312
key_down;81;Q;16;False;1488041123376
key_up;81;Q;16;False;1488041123440
key_down;81;Q;16;False;1488041123504
key_up;81;Q;16;False;1488041123552
key_down;81;Q;16;False;1488041123632
key_up;81;Q;16;False;1488041123712
key_down;81;Q;16;False;1488041123776
key_up;81;Q;16;False;1488041123856
key_down;81;Q;16;False;1488041123936
key_up;81;Q;16;False;1488041124000
key_down;81;Q;16;False;1488041124096
key_up;81;Q;16;False;1488041124160
key_down;81;Q;16;False;1488041124240
key_up;81;Q;16;False;1488041124320
key_down;81;Q;16;False;1488041124400
key_up;81;Q;16;False;1488041124480
key_down;81;Q;16;False;1488041124544
key_up;81;Q;16;False;1488041124624
key_down;81;Q;16;False;1488041124688
key_up;81;Q;16;False;1488041124752
key_down;81;Q;16;False;1488041124816
key_up;81;Q;16;False;1488041124896
key_down;81;Q;16;False;1488041124960
key_up;81;Q;16;False;1488041125024
key_down;81;Q;16;False;1488041125088
key_up;81;Q;16;False;1488041125168
key_down;81;Q;16;False;1488041125248
key_up;81;Q;16;False;1488041125328
key_down;81;Q;16;False;1488041125392
key_up;81;Q;16;False;1488041125472
key_down;81;Q;16;False;1488041125536
key_up;81;Q;16;False;1488041125632
key_down;81;Q;16;False;1488041125712
key_down;65;A;30;False;1488041125724
key_up;81;Q;16;False;1488041125776
key_down;65;A;30;False;1488041126276
key_down;65;A;30;False;1488041126309
key_down;65;A;30;False;1488041126342
key_down;65;A;30;False;1488041126375
key_down;65;A;30;False;1488041126408
key_down;65;A;30;False;1488041126442
key_down;65;A;30;False;1488041126474
key_down;65;A;30;False;1488041126507
key_down;65;A;30;False;1488041126540
key_down;65;A;30;False;1488041126573
key_down;65;A;30;False;1488041126606
key_down;65;A;30;False;1488041126640
key_down;65;A;30;False;1488041126672
key_down;65;A;30;False;1488041126705
key_up;65;A;30;False;1488041126736
key_down;87;W;17;False;1488041317568
key_up;87;W;17;False;1488041317584
key_down;81;Q;16;False;1488041317904
key_up;81;Q;16;False;1488041317968
key_down;81;Q;16;False;1488041318064
key_up;81;Q;16;False;1488041318128
key_down;81;Q;16;False;1488041318208
key_up;81;Q;16;False;1488041318256
key_down;81;Q;16;False;1488041318336
key_up;81;Q;16;False;1488041318384
key_down;81;Q;16;False;1488041318480
key_up;81;Q;16;False;1488041318496
key_down;81;Q;16;False;1488041318576
key_up;81;Q;16;False;1488041318624
key_down;81;Q;16;False;1488041318704
key_up;81;Q;16;False;1488041318752
key_down;81;Q;16;False;1488041318832
key_up;81;Q;16;False;1488041318880
key_down;81;Q;16;False;1488041318960
key_up;81;Q;16;False;1488041318976
key_down;81;Q;16;False;1488041319040
key_up;81;Q;16;False;1488041319104
key_down;81;Q;16;False;1488041319168
key_up;81;Q;16;False;1488041319232
key_down;81;Q;16;False;1488041319280
key_up;81;Q;16;False;1488041319344
key_down;81;Q;16;False;1488041319408
key_up;81;Q;16;False;1488041319456
key_down;81;Q;16;False;1488041319536
key_up;81;Q;16;False;1488041319600
key_down;81;Q;16;False;1488041319648
key_up;81;Q;16;False;1488041319696
key_down;81;Q;16;False;1488041319760
key_up;81;Q;16;False;1488041319824
key_down;81;Q;16;False;1488041319904
key_up;81;Q;16;False;1488041319968
key_down;81;Q;16;False;1488041320048
key_up;81;Q;16;False;1488041320128
key_down;81;Q;16;False;1488041320192
key_up;81;Q;16;False;1488041320272
key_down;81;Q;16;False;1488041320336
key_up;81;Q;16;False;1488041320416
key_down;81;Q;16;False;1488041320480
key_up;81;Q;16;False;1488041320560
key_down;81;Q;16;False;1488041320656
key_up;81;Q;16;False;1488041320720
key_down;81;Q;16;False;1488041320800
key_up;81;Q;16;False;1488041320880
key_down;81;Q;16;False;1488041320960
key_up;81;Q;16;False;1488041321040
key_down;81;Q;16;False;1488041321136
key_up;81;Q;16;False;1488041321216
key_down;81;Q;16;False;1488041321312
key_up;81;Q;16;False;1488041321376
key_down;81;Q;16;False;1488041321472
key_up;81;Q;16;False;1488041321552
key_down;81;Q;16;False;1488041321648
